2023-11-15 12:42:41.033 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-15T12:42:41.033978400
2023-11-15 12:42:41.034 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/selData
2023-11-15 12:42:41.034 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-15 12:42:41.035 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-15 12:42:41.036 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-15 12:42:41.040 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"table":["test"],"field":{"test":["id","testdocno","test001"]},"basicInfo":"Y","primaryTable":"test","where":"1 = 1 and test001 = '2023-11-15'","orderby":["test001","testdocno"]}]
2023-11-15 12:42:41.042 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-15 12:42:41.042 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-15 12:42:41.042 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-15 12:42:41.069 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-15T12:42:41.069178300
2023-11-15 12:42:41.070 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-15 12:42:41.070 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"数据查询成功","payload":[]}
2023-11-15 12:42:43.102 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-15T12:42:43.102159
2023-11-15 12:42:43.103 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/selData
2023-11-15 12:42:43.104 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-15 12:42:43.104 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-15 12:42:43.105 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-15 12:42:43.105 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"table":["test"],"field":{"test":["id","testdocno","test001"]},"basicInfo":"Y","primaryTable":"test","where":"1 = 1 and test001 = '2023-11-14'","orderby":["test001","testdocno"]}]
2023-11-15 12:42:43.106 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-15 12:42:43.106 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-15 12:42:43.107 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-15 12:42:43.122 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-15T12:42:43.122106
2023-11-15 12:42:43.122 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-15 12:42:43.123 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"数据查询成功","payload":[{"id":2,"testdocno":"test001","test001":1699891200000,"ownerid":10,"ownerusername":"admin","ownername":"管理员","createtime":1699896222000,"updateid":10,"updateusername":"10","updatename":"10","updatetime":1699976068000},{"id":3,"testdocno":"test002","test001":1699891200000,"ownerid":10,"ownerusername":"admin","ownername":"管理员","createtime":1699896728000,"updateid":10,"updateusername":"10","updatename":"10","updatetime":1699976068000}]}
2023-11-15 12:42:46.141 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-15T12:42:46.141680800
2023-11-15 12:42:46.142 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/selData
2023-11-15 12:42:46.142 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-15 12:42:46.142 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
